"날짜","종가","시가","고가","저가","거래량","변동 %"
"2019- 01- 27","102.78","106.26","106.48","102.17","201.61M","-4.10%"
"2019- 01- 20","107.17","106.75","107.88","104.86","112.63M","-0.50%"
"2019- 01- 13","107.71","101.90","107.90","101.26","155.70M","4.78%"
"2019- 01- 06","102.80","101.64","104.88","100.98","157.83M","0.85%"
"2018- 12- 30","101.93","101.29","102.51","97.20","155.14M","1.53%"
"2018- 12- 23","100.39","97.68","102.41","93.96","183.24M","2.20%"
"2018- 12- 16","98.23","105.41","106.88","97.46","356.05M","-7.36%"
"2018- 12- 09","106.03","104.80","111.27","103.89","197.74M","1.15%"
"2018- 12- 02","104.82","113.00","113.42","104.30","174.08M","-5.47%"
"2018- 11- 25","110.89","104.79","111.33","104.58","170.04M","7.59%"
"2018- 11- 18","103.07","108.27","108.56","99.35","150.78M","-4.82%"
"2018- 11- 11","108.29","109.42","109.96","103.91","180.50M","-1.17%"
"2018- 11- 04","109.57","106.37","112.24","105.90","147.85M","3.21%"
"2018- 10- 28","106.16","108.11","108.70","100.11","242.64M","-0.75%"
"2018- 10- 21","106.96","109.32","110.54","101.59","251.38M","-1.56%"
"2018- 10- 14","108.66","108.91","111.81","106.95","155.52M","-0.83%"
"2018- 10- 07","109.57","111.66","113.08","104.20","228.86M","-2.28%"
"2018- 09- 30","112.13","114.75","116.18","110.64","120.21M","-1.96%"
"2018- 09- 23","114.37","113.03","115.10","112.22","110.09M","0.10%"
"2018- 09- 16","114.26","113.69","115.29","111.03","159.58M","0.79%"
"2018- 09- 09","113.37","108.84","113.73","108.36","109.10M","4.77%"
"2018- 09- 02","108.21","110.85","111.95","107.23","101.48M","-3.67%"
"2018- 08- 26","112.33","109.27","112.78","108.51","105.65M","3.63%"
"2018- 08- 19","108.40","107.51","108.56","105.78","94.20M","0.76%"
"2018- 08- 12","107.58","109.24","109.75","106.69","104.69M","-1.30%"
"2018- 08- 05","109.00","108.12","110.16","107.56","83.69M","0.89%"
