"날짜","종가","시가","고가","저가","거래량","변동 %"
"2018- 07- 08","50.58","50.03","50.66","49.94","2.53M","1.46%"
"2018- 07- 01","49.85","48.99","49.98","48.85","2.68M","1.14%"
"2018- 06- 24","49.29","50.16","50.21","48.93","3.07M","-2.09%"
"2018- 06- 17","50.34","50.63","50.74","50.04","2.12M","-1.14%"
"2018- 06- 10","50.92","50.91","51.11","50.48","2.33M","0.08%"
"2018- 06- 03","50.88","49.99","50.88","49.99","2.24M","2.13%"
"2018- 05- 27","49.82","49.30","50.02","48.94","3.45M","0.44%"
"2018- 05- 20","49.60","49.63","50.05","49.22","2.48M","0.43%"
"2018- 05- 13","49.39","49.42","49.74","48.96","3.10M","0.39%"
"2018- 05- 06","49.20","48.37","49.29","47.87","3.58M","1.99%"
"2018- 04- 29","48.24","49.03","49.15","47.08","13.12M","-1.43%"
"2018- 04- 22","48.94","48.76","49.00","47.87","9.49M","0.60%"
"2018- 04- 15","48.65","49.42","50.06","48.46","8.35M","-1.00%"
"2018- 04- 08","49.14","48.55","49.51","48.33","4.27M","1.61%"
"2018- 04- 01","48.36","48.95","49.46","47.35","5.88M","-1.37%"
"2018- 03- 25","49.03","48.24","49.23","47.92","4.99M","3.05%"
"2018- 03- 18","47.58","50.26","50.26","47.55","5.23M","-5.58%"
"2018- 03- 11","50.39","51.47","51.56","50.25","3.17M","-1.96%"
"2018- 03- 04","51.40","49.75","51.41","49.75","3.32M","2.76%"
"2018- 02- 25","50.02","51.18","52.00","49.38","5.61M","-1.86%"
"2018- 02- 18","50.97","50.75","50.97","50.03","3.64M","-0.25%"
"2018- 02- 11","51.10","49.90","51.53","49.58","4.64M","3.36%"
"2018- 02- 04","49.44","51.81","52.18","47.92","12.70M","-5.23%"
"2018- 01- 28","52.17","54.48","54.50","52.13","6.10M","-4.42%"
"2018- 01- 21","54.58","53.38","54.60","53.33","4.25M","2.19%"
"2018- 01- 14","53.41","52.94","53.47","52.42","3.90M","1.37%"
"2018- 01- 07","52.69","52.02","52.79","51.86","4.30M","1.23%"
"2017- 12- 31","52.05","51.36","52.08","51.21","3.37M","1.72%"
"2017- 12- 24","51.17","51.15","51.40","51.12","3.34M","0.00%"
"2017- 12- 17","51.17","51.06","51.41","51.06","3.01M","0.02%"
"2017- 12- 10","51.16","50.63","51.26","50.56","2.61M","1.07%"
"2017- 12- 03","50.62","50.81","50.96","50.36","2.83M","0.34%"
"2017- 11- 26","50.45","49.31","50.72","49.30","3.52M","2.35%"
"2017- 11- 19","49.29","48.91","49.35","48.86","1.99M","0.86%"
"2017- 11- 12","48.87","48.64","49.12","48.52","2.76M","0.39%"
"2017- 11- 05","48.68","48.81","48.90","48.38","2.35M","-0.18%"
"2017- 10- 29","48.77","48.73","48.83","48.41","2.17M","-0.08%"
"2017- 10- 22","48.81","48.55","48.86","48.10","2.23M","0.72%"
"2017- 10- 15","48.46","48.05","48.47","47.89","1.88M","0.94%"
"2017- 10- 08","48.01","47.44","48.14","47.42","1.74M","1.29%"
"2017- 10- 01","47.40","46.83","47.47","46.80","2.20M","1.28%"
"2017- 09- 24","46.80","46.66","46.85","46.42","1.90M","0.28%"
"2017- 09- 17","46.67","46.64","46.85","46.51","1.87M","-0.58%"
"2017- 09- 10","46.94","46.09","46.94","46.06","1.67M","2.24%"
"2017- 09- 03","45.91","45.83","46.02","45.54","6.61M","0.00%"
"2017- 08- 27","45.91","45.68","45.97","45.38","1.65M","0.68%"
"2017- 08- 20","45.60","45.30","45.75","45.22","7.04M","0.68%"
"2017- 08- 13","45.29","45.85","46.18","45.26","2.70M","-0.77%"
"2017- 08- 06","45.64","45.99","46.14","45.63","1.87M","-0.74%"
"2017- 07- 30","45.98","45.77","46.02","45.73","1.75M","0.50%"
"2017- 07- 23","45.75","45.53","45.97","45.28","2.55M","0.42%"
"2017- 07- 16","45.56","45.54","45.68","45.32","1.96M","0.00%"
"2017- 07- 09","45.56","45.09","45.61","44.75","1.90M","1.02%"
"2017- 07- 02","45.10","45.21","45.37","44.86","1.48M","0.00%"
"2017- 06- 25","45.10","45.66","45.76","44.76","3.15M","-1.05%"
"2017- 06- 18","45.58","45.87","45.97","45.42","2.11M","-1.02%"
"2017- 06- 11","46.05","45.66","46.06","45.66","2.10M","0.77%"
"2017- 06- 04","45.70","45.76","45.84","45.46","1.87M","-0.17%"
"2017- 05- 28","45.78","45.19","45.82","45.14","1.47M","1.22%"
"2017- 05- 21","45.23","44.76","45.30","44.76","1.80M","1.28%"
"2017- 05- 14","44.66","44.62","44.88","44.12","2.94M","0.27%"
"2017- 05- 07","44.54","44.80","44.86","44.43","2.75M","-0.74%"
"2017- 04- 30","44.87","44.75","44.87","44.49","1.92M","0.40%"
"2017- 04- 23","44.69","44.68","45.02","44.61","2.30M","0.79%"
"2017- 04- 16","44.34","44.18","44.50","44.13","2.18M","0.57%"
"2017- 04- 09","44.09","44.50","44.64","44.07","2.06M","-0.88%"
"2017- 04- 02","44.48","44.60","44.89","44.30","3.89M","-0.22%"
"2017- 03- 26","44.58","44.16","44.72","44.11","3.64M","0.45%"
"2017- 03- 19","44.38","44.89","45.00","44.25","3.09M","-1.86%"
"2017- 03- 12","45.22","45.05","45.36","44.79","2.14M","0.38%"
"2017- 03- 05","45.05","44.97","45.13","44.69","2.39M","-0.13%"
"2017- 02- 26","45.11","45.00","45.38","44.76","2.83M","0.24%"
"2017- 02- 19","45.00","44.59","45.00","44.49","1.81M","1.15%"
"2017- 02- 12","44.49","43.91","44.49","43.85","2.38M","1.60%"
"2017- 02- 05","43.79","43.39","43.85","43.28","2.42M","0.88%"
"2017- 01- 29","43.41","43.69","43.75","43.05","3.02M","-0.91%"
"2017- 01- 22","43.81","43.50","44.00","43.27","2.99M","0.48%"
"2017- 01- 15","43.60","43.45","43.72","43.27","1.94M","0.21%"
"2017- 01- 08","43.51","43.77","43.77","43.20","2.69M","-0.73%"
"2017- 01- 01","43.83","43.80","43.95","43.56","3.20M","0.60%"
"2016- 12- 25","43.57","44.01","44.08","43.41","2.44M","-0.84%"
"2016- 12- 18","43.94","43.77","44.10","43.76","2.85M","-0.66%"
"2016- 12- 11","44.23","44.09","44.63","43.98","3.08M","0.45%"
"2016- 12- 04","44.03","43.04","44.06","42.95","3.24M","2.73%"
