"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2018","47.21","47.84","48.22","47.06","560.75M","-1.48%"
"06/03/2018","47.92","47.91","48.55","47.44","467.08M","0.76%"
"05/27/2018","47.56","46.90","47.56","46.53","368.52M","0.87%"
"05/20/2018","47.15","47.00","47.41","46.44","377.58M","1.22%"
"05/13/2018","46.58","47.25","47.38","46.27","397.00M","-1.21%"
"05/06/2018","47.15","46.30","47.59","45.92","593.07M","2.59%"
"04/29/2018","45.96","40.53","46.06","40.46","1.01B","13.26%"
"04/22/2018","40.58","41.71","41.73","40.16","648.83M","-2.05%"
"04/15/2018","41.43","43.76","44.73","41.36","676.95M","-5.15%"
"04/08/2018","43.68","42.47","43.96","42.46","512.31M","3.78%"
"04/01/2018","42.09","41.97","43.56","41.12","657.64M","0.33%"
"03/25/2018","41.95","42.02","43.79","41.30","634.12M","1.75%"
"03/18/2018","41.23","44.33","44.37","41.23","690.68M","-7.37%"
"03/11/2018","44.51","45.07","45.88","44.41","621.67M","-1.07%"
"03/04/2018","44.99","43.80","45.00","43.57","559.41M","2.13%"
"02/25/2018","44.05","44.09","45.15","43.11","808.51M","0.39%"
"02/18/2018","43.88","43.01","43.91","42.75","544.83M","1.79%"
"02/11/2018","43.11","39.62","43.70","39.38","901.35M","10.26%"
"02/04/2018","39.10","39.77","40.97","37.56","1.27B","-2.54%"
"01/28/2018","40.12","42.54","42.54","40.02","1.05B","-6.44%"
"01/21/2018","42.88","44.33","44.86","42.52","766.30M","-3.90%"
"01/14/2018","44.62","44.48","45.02","43.77","510.28M","0.79%"
"01/07/2018","44.27","43.59","44.34","43.25","440.79M","1.19%"
"12/31/2017","43.75","42.54","43.84","42.31","404.67M","3.40%"
"12/24/2017","42.31","42.70","42.96","42.30","388.66M","-3.29%"
"12/17/2017","43.75","43.72","44.30","43.31","470.53M","0.60%"
"12/10/2017","43.49","42.30","43.54","42.20","556.59M","2.72%"
"12/03/2017","42.34","43.12","43.16","41.62","549.92M","-0.98%"
"11/26/2017","42.76","43.76","43.77","41.79","680.39M","-2.24%"
"11/19/2017","43.74","42.57","43.88","42.39","324.04M","2.82%"
