"Date","Price","Open","High","Low","Vol.","Change %"
"05/23/2021","55.50","43.96","67.20","43.34","271.80M","25.57%"
"05/16/2021","44.20","39.96","47.30","39.75","104.64M","10.55%"
"05/09/2021","39.98","40.33","42.49","34.13","101.56M","-0.74%"
"05/02/2021","40.28","44.37","44.37","37.95","71.43M","-7.19%"
"04/25/2021","43.40","37.74","47.00","37.19","133.79M","14.82%"
"04/18/2021","37.79","42.95","43.80","36.17","109.52M","-2.27%"
"04/11/2021","38.67","39.53","43.52","33.00","230.80M","-2.32%"
"04/04/2021","39.59","42.75","48.75","38.25","178.27M","-17.28%"
"03/28/2021","47.86","45.19","51.08","43.38","179.46M","5.77%"
"03/21/2021","45.25","51.31","54.73","29.23","548.25M","-9.62%"
"03/14/2021","50.07","69.38","70.75","43.09","450.43M","-24.28%"
"03/07/2021","66.13","38.72","87.13","36.53","913.58M","92.03%"
"02/28/2021","34.44","26.14","37.88","24.99","664.77M","35.38%"
"02/21/2021","25.43","11.67","46.17","10.00","1.41B","150.65%"
"02/14/2021","10.15","13.16","13.38","9.63","225.02M","-22.54%"
"02/07/2021","13.10","18.10","18.17","11.63","466.46M","-17.83%"
"01/31/2021","15.94","79.14","80.50","12.77","1.21B","-80.38%"
"01/24/2021","81.25","24.18","120.75","15.28","2.24B","399.92%"
"01/17/2021","16.25","10.39","19.19","9.02","1.45B","83.13%"
"01/10/2021","8.88","4.85","10.77","4.75","1.23B","100.68%"
"01/03/2021","4.42","4.75","4.86","4.27","134.61M","-6.10%"
"12/27/2020","4.71","5.33","5.49","4.64","124.26M","-6.50%"
"12/20/2020","5.04","3.95","5.59","3.82","290.62M","28.92%"
"12/13/2020","3.91","3.34","4.07","3.04","195.52M","17.43%"
"12/06/2020","3.33","4.25","4.38","3.26","251.68M","-21.24%"
"11/29/2020","4.22","4.54","4.86","3.85","271.20M","5.10%"
"11/22/2020","4.02","3.22","4.18","3.17","152.64M","26.51%"
"11/15/2020","3.18","2.79","3.37","2.68","159.25M","15.44%"
"11/08/2020","2.75","3.19","3.23","2.71","91.42M","-7.17%"
"11/01/2020","2.96","2.70","3.04","2.63","114.85M","13.28%"
"10/25/2020","2.62","3.73","3.86","2.59","170.90M","-30.20%"
"10/18/2020","3.75","3.36","3.97","3.35","191.42M","12.70%"
"10/11/2020","3.33","2.91","3.78","2.85","384.63M","10.73%"
"10/04/2020","3.01","2.36","3.70","2.28","657.02M","28.01%"
"09/27/2020","2.35","2.54","2.69","2.33","107.93M","-6.29%"
"09/20/2020","2.51","2.34","2.79","2.10","273.99M","5.81%"
"09/13/2020","2.37","1.70","2.44","1.61","278.57M","55.50%"
"09/06/2020","1.52","1.89","2.07","1.47","162.02M","-20.39%"
"08/30/2020","1.91","1.44","2.11","1.42","384.82M","41.93%"
"08/23/2020","1.35","1.27","1.39","1.14","71.94M","7.16%"
"08/16/2020","1.26","1.20","1.40","1.11","87.61M","5.89%"
"08/09/2020","1.19","1.05","1.21","1.04","65.45M","14.18%"
"08/02/2020","1.04","1.01","1.19","1.00","92.19M","3.74%"
"07/26/2020","1.00","1.00","1.06","0.98","56.74M","0.00%"
"07/19/2020","1.01","0.99","1.08","0.94","58.88M","1.77%"
"07/12/2020","0.99","1.09","1.14","0.98","49.40M","-8.76%"
"07/05/2020","1.09","1.08","1.10","1.01","40.22M","1.17%"
"06/28/2020","1.07","1.09","1.13","1.05","40.85M","-1.38%"
"06/21/2020","1.09","1.20","1.25","1.07","62.45M","-10.86%"
"06/14/2020","1.22","1.13","1.27","1.11","85.67M","3.39%"
"06/07/2020","1.18","1.07","1.38","1.04","157.71M","14.01%"
"05/31/2020","1.03","1.03","1.18","1.00","71.26M","1.97%"
"05/24/2020","1.01","1.09","1.19","1.01","51.40M","-2.87%"
"05/17/2020","1.04","1.10","1.19","1.03","44.43M","-0.95%"
"05/10/2020","1.05","1.23","1.24","0.99","44.67M","-15.26%"
"05/03/2020","1.25","1.46","1.48","1.16","57.59M","-17.69%"
"04/26/2020","1.51","1.21","1.54","1.20","88.10M","26.83%"
"04/19/2020","1.19","1.21","1.48","1.14","69.63M","-2.25%"
"04/12/2020","1.22","1.06","1.62","1.04","147.50M","25.45%"
"04/05/2020","0.97","0.71","1.06","0.71","59.88M","38.93%"
"03/29/2020","0.70","1.05","1.07","0.64","72.47M","-33.65%"
"03/22/2020","1.05","0.89","1.27","0.88","118.57M","12.23%"
"03/15/2020","0.94","0.98","1.16","0.88","99.37M","-18.08%"
"03/08/2020","1.15","0.90","1.16","0.87","91.68M","17.09%"
"03/01/2020","0.98","0.90","1.02","0.85","69.78M","8.89%"
"02/23/2020","0.90","0.98","0.98","0.80","85.25M","-10.89%"
"02/16/2020","1.01","1.00","1.07","0.98","29.28M","0.00%"
"02/09/2020","1.00","0.96","1.13","0.94","58.71M","5.51%"
"02/02/2020","0.95","0.97","1.10","0.94","49.93M","-0.78%"
"01/26/2020","0.96","1.05","1.09","0.96","46.88M","-11.11%"
"01/19/2020","1.08","1.19","1.19","1.06","48.81M","-9.05%"
"01/12/2020","1.19","1.36","1.40","1.13","117.94M","-12.52%"
"01/05/2020","1.36","1.45","1.48","1.35","78.74M","-7.65%"
"12/29/2019","1.47","1.47","1.62","1.44","67.15M","0.00%"
"12/22/2019","1.48","1.51","1.52","1.31","99.94M","-1.50%"
"12/15/2019","1.50","1.35","1.57","1.35","95.01M","9.91%"
"12/08/2019","1.36","1.66","1.73","1.29","189.74M","-18.41%"
"12/01/2019","1.67","1.59","1.67","1.48","65.15M","5.36%"
"11/24/2019","1.59","1.42","1.60","1.41","39.18M","12.01%"
"11/17/2019","1.41","1.46","1.46","1.34","61.21M","-3.74%"
"11/10/2019","1.47","1.51","1.53","1.44","41.41M","-3.45%"
"11/03/2019","1.52","1.48","1.58","1.44","65.08M","4.28%"
"10/27/2019","1.46","1.60","1.62","1.33","80.33M","-8.03%"
"10/20/2019","1.59","1.50","1.65","1.46","75.14M","6.90%"
"10/13/2019","1.49","1.33","1.51","1.30","89.92M","10.61%"
"10/06/2019","1.34","1.37","1.39","1.24","105.19M","-3.24%"
"09/29/2019","1.39","1.36","1.45","1.31","132.38M","3.93%"
"09/22/2019","1.34","1.17","1.39","1.15","197.92M","13.62%"
"09/15/2019","1.17","1.08","1.20","1.03","169.94M","6.58%"
"09/08/2019","1.10","1.09","1.27","0.99","327.26M","2.32%"
"09/01/2019","1.08","0.99","1.09","0.92","107.48M","8.56%"
"08/25/2019","0.99","0.93","1.09","0.91","185.92M","8.77%"
"08/18/2019","0.91","0.84","1.06","0.82","204.10M","9.94%"
"08/11/2019","0.83","0.89","0.94","0.79","89.14M","-7.52%"
"08/04/2019","0.90","0.93","0.98","0.89","88.33M","-5.03%"
"07/28/2019","0.94","1.00","1.04","0.94","95.99M","-5.74%"
"07/21/2019","1.00","1.08","1.10","0.99","112.85M","-7.18%"
"07/14/2019","1.08","1.22","1.22","1.03","144.92M","-12.02%"
"07/07/2019","1.23","1.38","1.39","1.18","201.35M","-11.05%"
"06/30/2019","1.38","1.38","1.41","1.32","101.70M","0.91%"
"06/23/2019","1.37","1.35","1.40","1.32","76.45M","0.92%"
"06/16/2019","1.36","1.41","1.46","1.33","94.47M","-3.73%"
"06/09/2019","1.41","1.34","1.46","1.32","193.64M","12.15%"
"06/02/2019","1.25","1.89","1.96","1.18","316.65M","-33.77%"
"05/26/2019","1.89","1.96","2.00","1.83","54.16M","-3.07%"
"05/19/2019","1.96","2.12","2.13","1.92","86.87M","-9.18%"
"05/12/2019","2.15","2.08","2.21","2.04","46.51M","1.53%"
"05/05/2019","2.12","2.21","2.23","2.09","46.81M","-5.46%"
"04/28/2019","2.24","2.22","2.25","2.12","58.37M","0.90%"
"04/21/2019","2.22","2.19","2.27","2.13","79.08M","1.37%"
"04/14/2019","2.19","2.32","2.34","2.18","71.93M","-5.90%"
"04/07/2019","2.33","2.45","2.52","2.32","70.64M","-5.48%"
"03/31/2019","2.46","2.57","2.61","2.20","213.38M","-2.95%"
"03/24/2019","2.54","2.62","2.63","2.52","66.68M","-2.78%"
"03/17/2019","2.61","2.77","2.81","2.59","64.56M","-5.52%"
"03/10/2019","2.77","2.74","2.91","2.72","53.75M","0.82%"
"03/03/2019","2.74","2.95","3.03","2.69","76.25M","-6.64%"
"02/24/2019","2.94","2.85","3.00","2.85","55.48M","3.34%"
"02/17/2019","2.84","2.87","2.87","2.75","48.02M","-0.52%"
"02/10/2019","2.86","2.85","2.94","2.79","45.64M","0.70%"
"02/03/2019","2.84","2.81","2.95","2.75","63.38M","0.98%"
"01/27/2019","2.81","3.93","3.95","2.78","206.13M","-29.31%"
"01/20/2019","3.97","3.95","4.01","3.78","32.89M","-0.19%"
"01/13/2019","3.98","3.96","4.23","3.80","72.49M","0.50%"
"01/06/2019","3.96","3.78","4.10","3.73","68.16M","4.00%"
"12/30/2018","3.81","3.08","3.82","3.08","74.32M","24.10%"
"12/23/2018","3.07","2.99","3.12","2.89","30.38M","2.68%"
"12/16/2018","2.99","3.16","3.28","2.94","57.48M","-6.27%"
"12/09/2018","3.19","3.35","3.38","3.17","44.20M","-6.73%"
"12/02/2018","3.42","3.45","3.53","3.31","57.42M","0.15%"
"11/25/2018","3.41","3.50","3.81","3.20","116.19M","1.19%"
"11/18/2018","3.38","3.21","3.63","3.04","98.63M","5.55%"
"11/11/2018","3.20","3.66","3.69","3.11","67.57M","-12.64%"
"11/04/2018","3.66","3.89","3.89","3.58","38.22M","-6.21%"
"10/28/2018","3.90","3.46","3.94","3.44","45.69M","13.86%"
"10/21/2018","3.43","3.70","3.90","3.41","46.91M","-6.92%"
"10/14/2018","3.68","3.70","3.87","3.62","40.49M","-0.47%"
"10/07/2018","3.70","3.68","3.86","3.66","42.61M","0.82%"
"09/30/2018","3.67","3.82","3.88","3.64","51.19M","-3.86%"
"09/23/2018","3.82","4.11","4.11","3.80","48.37M","-7.57%"
"09/16/2018","4.13","4.18","4.22","4.09","41.85M","-1.61%"
"09/09/2018","4.20","4.04","4.26","3.97","62.44M","4.09%"
"09/02/2018","4.03","3.29","4.13","3.27","147.92M","21.55%"
"08/26/2018","3.32","4.12","4.13","3.30","133.10M","-19.82%"
"08/19/2018","4.14","3.85","4.32","3.84","94.06M","7.96%"
"08/12/2018","3.83","3.84","3.89","3.75","38.02M","0.00%"
"08/05/2018","3.83","3.72","3.90","3.68","43.87M","3.16%"
"07/29/2018","3.71","3.72","3.74","3.60","46.01M","0.13%"
"07/22/2018","3.71","3.76","3.77","3.56","39.27M","-1.66%"
"07/15/2018","3.77","3.82","3.86","3.58","43.11M","-1.31%"
"07/08/2018","3.82","3.89","3.91","3.62","53.53M","0.86%"
"07/01/2018","3.79","3.65","3.81","3.50","55.14M","3.98%"
"06/24/2018","3.64","3.85","3.93","3.62","51.78M","-6.12%"
"06/17/2018","3.88","3.49","3.99","3.34","218.20M","11.17%"
"06/10/2018","3.49","3.54","3.59","3.17","150.40M","-3.92%"
"06/03/2018","3.63","3.45","3.67","3.36","105.54M","5.90%"
"05/27/2018","3.43","3.14","3.43","3.14","166.18M","8.29%"
"05/20/2018","3.17","3.13","3.23","3.11","73.16M","1.69%"
"05/13/2018","3.12","3.17","3.47","3.06","118.34M","-1.97%"
"05/06/2018","3.18","3.26","3.30","3.12","77.35M","-2.23%"
"04/29/2018","3.25","3.49","3.50","3.18","74.95M","-6.20%"
"04/22/2018","3.46","3.22","3.48","3.22","66.67M","7.61%"
"04/15/2018","3.22","3.43","3.55","3.20","79.20M","-5.36%"
"04/08/2018","3.40","3.38","3.49","3.36","88.34M","1.34%"
"04/01/2018","3.36","3.13","3.41","3.13","130.56M","6.42%"
"03/25/2018","3.15","3.42","3.58","3.05","170.37M","-6.52%"
"03/18/2018","3.38","3.81","3.85","3.37","83.70M","-12.45%"
"03/11/2018","3.86","3.96","4.00","3.82","64.96M","-2.71%"
"03/04/2018","3.96","3.97","4.04","3.87","67.35M","-0.50%"
"02/25/2018","3.98","4.00","4.15","3.85","74.67M","-0.25%"
"02/18/2018","3.99","4.07","4.08","3.89","42.21M","-2.62%"
"02/11/2018","4.10","4.07","4.24","3.87","52.32M","1.42%"
"02/04/2018","4.04","4.03","4.17","3.78","93.74M","-0.37%"
"01/28/2018","4.06","4.26","4.32","4.05","55.92M","-4.87%"
"01/21/2018","4.26","4.55","4.57","4.15","75.95M","-5.90%"
"01/14/2018","4.53","4.50","4.57","4.26","78.29M","2.08%"
"01/07/2018","4.44","4.70","5.08","4.41","124.01M","-4.93%"
"12/31/2017","4.67","4.49","4.68","4.45","49.69M","4.07%"
"12/24/2017","4.49","4.57","4.80","4.49","36.30M","-1.86%"
"12/17/2017","4.57","4.61","4.70","4.50","50.85M","-0.27%"
"12/10/2017","4.59","4.82","4.84","4.54","63.87M","-4.48%"
"12/03/2017","4.80","4.76","4.97","4.65","65.17M","2.29%"
"11/26/2017","4.69","4.40","4.92","4.40","108.26M","7.75%"
"11/19/2017","4.36","4.10","4.68","4.01","159.06M","6.81%"
"11/12/2017","4.08","4.11","4.21","3.96","79.06M","-0.73%"
"11/05/2017","4.11","4.52","4.55","4.05","67.10M","-9.23%"
"10/29/2017","4.53","4.86","4.87","4.53","47.44M","-6.41%"
"10/22/2017","4.84","5.03","5.14","4.73","41.42M","-3.92%"
"10/15/2017","5.03","4.92","5.08","4.80","30.56M","2.13%"
"10/08/2017","4.93","5.02","5.07","4.83","34.96M","-1.55%"
"10/01/2017","5.01","5.16","5.17","5.01","27.73M","-3.10%"
"09/24/2017","5.16","5.01","5.24","5.00","34.50M","3.25%"
"09/17/2017","5.00","5.10","5.16","4.97","28.35M","-1.38%"
"09/10/2017","5.07","4.80","5.11","4.78","46.94M","5.95%"
"09/03/2017","4.79","4.67","4.84","4.64","42.39M","2.57%"
