"날짜","종가","시가","고가","저가","거래량","변동 %"
"2018- 03- 18","5.82","6.20","6.30","5.81","2.99B","-7.03%"
"2018- 03- 11","6.26","6.17","6.36","6.15","2.53B","2.12%"
"2018- 03- 04","6.13","5.86","6.15","5.74","2.76B","3.72%"
"2018- 02- 25","5.91","6.20","6.22","5.55","3.40B","-3.90%"
"2018- 02- 18","6.15","6.12","6.30","5.99","2.53B","0.82%"
"2018- 02- 11","6.10","5.88","6.25","5.63","3.80B","5.17%"
"2018- 02- 04","5.80","5.67","5.97","5.10","5.90B","-0.68%"
"2018- 01- 28","5.84","6.07","6.23","5.78","2.74B","-3.95%"
"2018- 01- 21","6.08","5.76","6.08","5.70","2.53B","5.74%"
"2018- 01- 14","5.75","5.60","5.78","5.42","2.26B","3.23%"
"2018- 01- 07","5.57","5.51","5.66","5.40","2.73B","3.53%"
"2017- 12- 31","5.38","4.89","5.45","4.86","2.43B","11.16%"
"2017- 12- 24","4.84","4.83","5.00","4.80","1.20B","-0.82%"
"2017- 12- 17","4.88","4.83","4.95","4.78","1.91B","1.88%"
"2017- 12- 10","4.79","4.80","4.87","4.62","2.49B","0.00%"
"2017- 12- 03","4.79","5.00","5.01","4.51","3.70B","-3.04%"
"2017- 11- 26","4.94","5.43","5.43","4.78","3.97B","-8.86%"
"2017- 11- 19","5.42","5.30","5.42","5.26","1.33B","2.65%"
"2017- 11- 12","5.28","5.40","5.43","5.20","2.57B","-2.22%"
"2017- 11- 05","5.40","5.18","5.47","5.01","3.57B","3.45%"
"2017- 10- 29","5.22","5.05","5.25","5.03","2.11B","3.37%"
"2017- 10- 22","5.05","4.94","5.05","4.78","2.56B","2.64%"
"2017- 10- 15","4.92","4.89","4.99","4.81","2.64B","1.23%"
"2017- 10- 08","4.86","4.57","4.88","4.55","3.22B","7.28%"
"2017- 10- 01","4.53","4.52","4.55","4.42","2.08B","1.34%"
"2017- 09- 24","4.47","4.44","4.49","4.25","3.77B","0.00%"
"2017- 09- 17","4.47","4.63","4.78","4.44","4.85B","-0.67%"
"2017- 09- 10","4.50","4.14","4.50","4.13","3.44B","10.02%"
"2017- 09- 03","4.09","4.21","4.21","4.07","1.95B","-3.99%"
"2017- 08- 27","4.26","4.11","4.30","4.06","2.16B","3.90%"
"2017- 08- 20","4.10","4.06","4.18","3.93","2.48B","1.49%"
"2017- 08- 13","4.04","3.99","4.24","3.98","3.77B","3.59%"
