"Date","Price","Open","High","Low","Vol.","Change %"
"06/02/2019","180.94","173.43","181.67","169.18","233.85M","4.07%"
"05/26/2019","173.86","178.58","179.57","173.78","142.74M","-2.36%"
"05/19/2019","178.07","180.42","182.23","177.05","165.81M","-2.66%"
"05/12/2019","182.94","180.21","185.97","177.97","235.47M","-1.06%"
"05/05/2019","184.90","187.00","190.10","180.94","248.23M","-3.20%"
"04/28/2019","191.01","190.52","191.22","186.77","162.50M","0.24%"
"04/21/2019","190.55","186.44","191.12","186.33","132.46M","1.74%"
"04/14/2019","187.29","185.71","187.83","184.52","106.50M","0.84%"
"04/07/2019","185.73","184.27","185.85","183.53","118.54M","0.63%"
"03/31/2019","184.56","181.32","184.82","180.68","139.45M","2.78%"
"03/24/2019","179.57","177.83","180.60","176.51","182.26M","0.62%"
"03/17/2019","178.47","177.86","182.73","177.50","233.16M","0.12%"
"03/10/2019","178.26","171.77","178.79","171.76","168.84M","4.20%"
"03/03/2019","171.08","175.28","175.70","169.25","166.29M","-1.85%"
"02/24/2019","174.30","174.11","174.57","171.67","136.23M","0.87%"
"02/17/2019","172.80","171.30","172.99","170.62","105.02M","0.55%"
"02/10/2019","171.85","169.05","172.47","167.89","140.10M","2.01%"
"02/03/2019","168.47","167.42","171.28","166.48","153.90M","0.66%"
"01/27/2019","167.36","162.94","168.90","160.91","175.02M","1.39%"
"01/20/2019","165.06","163.96","165.56","160.24","163.70M","-0.06%"
"01/13/2019","165.16","159.24","165.93","158.51","201.91M","2.83%"
"01/06/2019","160.61","156.46","161.44","156.03","217.06M","2.86%"
"12/30/2018","156.15","154.39","156.92","149.41","261.12M","2.13%"
"12/23/2018","152.89","146.06","155.51","143.38","318.83M","3.66%"
"12/16/2018","147.49","160.33","161.59","146.64","460.46M","-8.39%"
"12/09/2018","161.00","161.03","167.51","159.33","289.72M","-0.19%"
"12/02/2018","161.30","173.01","173.22","160.78","273.51M","-4.71%"
"11/25/2018","169.28","161.36","169.38","160.68","230.37M","6.38%"
"11/18/2018","159.13","166.65","166.81","157.05","236.40M","-4.95%"
"11/11/2018","167.41","170.24","170.55","163.37","340.62M","-2.34%"
"11/04/2018","171.43","169.52","175.49","166.99","216.05M","1.26%"
"10/28/2018","169.29","169.07","172.46","160.01","406.96M","1.63%"
"10/21/2018","166.57","173.97","175.16","164.14","447.93M","-3.68%"
"10/14/2018","172.93","173.60","178.16","171.47","369.26M","-0.75%"
"10/07/2018","174.23","179.28","180.92","167.72","475.60M","-3.24%"
"09/30/2018","180.06","186.72","187.43","178.34","246.00M","-3.03%"
"09/23/2018","185.69","181.95","186.39","181.20","157.62M","1.13%"
"09/16/2018","183.61","183.56","185.38","181.07","168.69M","-0.15%"
"09/09/2018","183.89","182.02","184.85","180.43","154.81M","1.59%"
"09/02/2018","181.01","186.00","186.30","180.35","164.41M","-2.97%"
"08/26/2018","186.55","183.33","187.42","183.01","136.76M","2.29%"
"08/19/2018","182.38","180.19","182.53","178.91","118.15M","1.45%"
"08/12/2018","179.77","180.76","181.91","178.03","169.33M","-0.37%"
"08/05/2018","180.43","179.88","182.53","179.65","130.06M","0.24%"
"07/29/2018","179.99","177.57","180.00","174.18","220.69M","1.39%"
"07/22/2018","177.53","178.36","182.83","176.51","195.44M","-0.77%"
"07/15/2018","178.90","179.55","180.56","177.19","142.66M","-0.35%"
"07/08/2018","179.52","176.40","179.81","175.71","137.54M","2.28%"
"07/01/2018","175.52","169.95","175.65","169.58","125.91M","2.31%"
"06/24/2018","171.56","173.67","173.90","169.08","252.47M","-2.09%"
"06/17/2018","175.23","175.44","177.89","173.62","176.45M","-0.94%"
"06/10/2018","176.89","174.21","177.80","174.19","168.22M","1.46%"
"06/03/2018","174.35","173.07","175.84","172.98","141.66M","0.98%"
"05/27/2018","172.65","168.82","172.75","167.87","145.10M","1.78%"
"05/20/2018","169.63","168.64","170.24","166.79","124.15M","1.35%"
"05/13/2018","167.37","169.75","170.73","166.89","147.82M","-1.18%"
"05/06/2018","169.37","165.55","169.77","164.77","139.42M","2.79%"
"04/29/2018","164.78","162.39","165.16","159.14","212.66M","1.72%"
"04/22/2018","162.00","162.99","164.32","156.39","249.44M","-0.13%"
"04/15/2018","162.21","162.36","166.91","161.40","177.19M","0.57%"
"04/08/2018","161.29","157.93","163.17","157.38","207.11M","3.03%"
"04/01/2018","156.55","158.92","161.50","153.80","318.33M","-2.19%"
"03/25/2018","160.05","161.60","165.53","155.96","294.43M","1.02%"
"03/18/2018","158.43","169.07","169.13","158.35","296.05M","-7.31%"
"03/11/2018","170.93","173.56","175.12","170.81","193.80M","-1.24%"
"03/04/2018","173.07","165.17","173.07","164.50","166.77M","4.32%"
"02/25/2018","165.90","168.84","170.64","161.87","258.67M","-1.30%"
"02/18/2018","168.08","164.30","168.08","164.22","165.12M","1.95%"
"02/11/2018","164.87","157.59","166.67","156.38","260.83M","5.67%"
"02/04/2018","156.02","163.04","165.66","150.05","522.96M","-5.17%"
"01/28/2018","164.52","170.43","170.82","164.38","231.23M","-3.70%"
"01/21/2018","170.84","166.18","170.86","166.00","179.32M","2.76%"
"01/14/2018","166.25","165.46","166.52","163.44","140.45M","1.13%"
"01/07/2018","164.40","161.82","164.57","161.04","140.18M","1.59%"
"12/31/2017","161.83","156.42","161.94","156.09","113.73M","3.95%"
"12/24/2017","155.68","156.45","156.98","155.62","102.89M","-1.02%"
"12/17/2017","157.29","158.21","158.69","156.83","139.20M","-0.18%"
"12/10/2017","157.57","154.68","157.74","154.68","139.96M","1.91%"
"12/03/2017","154.62","155.39","155.54","151.98","181.32M","0.14%"
"11/26/2017","154.41","156.12","156.61","152.18","235.48M","-1.13%"
"11/19/2017","156.18","154.00","156.23","153.53","66.87M","1.50%"
"11/12/2017","153.87","153.04","154.81","151.70","126.02M","0.18%"
"11/05/2017","153.60","153.05","154.46","152.03","128.15M","0.27%"
"10/29/2017","153.19","151.00","153.21","150.69","144.75M","1.34%"
